j_50_cd,left,top,right,bottom,xcoord,ycoord,oid_count
1119625,890750,1497800,890800,1497750,890775,1497775,10
1160922,894450,1489450,894500,1489400,894475,1489425,10
1163360,894650,1478350,894700,1478300,894675,1478325,10
1174022,895650,1499550,895700,1499500,895675,1499525,10
1179062,896100,1499850,896150,1499800,896125,1499825,10
1179265,896100,1489700,896150,1489650,896125,1489675,10
1180121,896150,1475300,896200,1475250,896175,1475275,10
1190359,897100,1499900,897150,1499850,897125,1499875,10
1205432,898450,1473650,898500,1473600,898475,1473625,10
1206511,898550,1473700,898600,1473650,898575,1473675,10
1208121,898700,1474600,898750,1474550,898725,1474575,10
1208674,898750,1474250,898800,1474200,898775,1474225,10
1209786,898850,1473350,898900,1473300,898875,1473325,10
1230839,900750,1495100,900800,1495050,900775,1495075,10
1256648,903000,1500550,903050,1500500,903025,1500525,10
1273150,904350,1502250,904400,1502200,904375,1502225,10
1284480,905250,1499750,905300,1499700,905275,1499725,10
1286356,905400,1499850,905450,1499800,905425,1499825,10
1288228,905550,1499750,905600,1499700,905575,1499725,10
1288832,905600,1501050,905650,1501000,905625,1501025,10
1290079,905700,1501700,905750,1501650,905725,1501675,10
1292091,905850,1496300,905900,1496250,905875,1496275,10
1293932,906000,1499950,906050,1499900,906025,1499925,10
1299028,906400,1500250,906450,1500200,906425,1500225,10
1304196,906800,1499350,906850,1499300,906825,1499325,10
1310596,907300,1499750,907350,1499700,907325,1499725,10
1311812,907400,1502550,907450,1502500,907425,1502525,10
1316837,907750,1473800,907800,1473750,907775,1473775,10
1327598,908650,1503250,908700,1503200,908675,1503225,10
1334403,909200,1503400,909250,1503350,909225,1503375,10
1337513,909450,1502800,909500,1502750,909475,1502775,10
1338137,909500,1502600,909550,1502550,909525,1502575,10
1341854,909800,1503150,909850,1503100,909825,1503125,10
1343122,909900,1502050,909950,1502000,909925,1502025,10
1375203,912400,1472900,912450,1472850,912425,1472875,10
1401304,914450,1473250,914500,1473200,914475,1473225,10
1401811,914500,1479200,914550,1479150,914525,1479175,10
1500295,922200,1506100,922250,1506050,922225,1506075,10
1511255,923100,1505700,923150,1505650,923125,1505675,10
1545708,925850,1498950,925900,1498900,925875,1498925,10
1593681,929700,1492800,929750,1492750,929725,1492775,10
